epoch,loss,eval_loss,learning_rate,grad_norm
1.733,1.837,,9.736e-06,7.969
1.743,1.83,,9.655e-06,7.281
1.754,1.873,,9.574e-06,8.562
1.754,,1.97,,
1.764,1.889,,9.493e-06,8.5
1.775,1.864,,9.412e-06,11.31
1.786,1.867,,9.331e-06,6.812
1.796,1.843,,9.25e-06,7.188
1.807,1.862,,9.169e-06,8.062
1.807,,1.968,,
1.818,1.874,,9.088e-06,8
1.828,1.867,,9.007e-06,7.719
1.839,1.882,,8.926e-06,8.75
1.85,1.873,,8.845e-06,8.188
1.86,1.864,,8.764e-06,10.44
1.86,,1.966,,
1.871,1.839,,8.683e-06,7.344
1.881,1.862,,8.602e-06,7.875
1.892,1.854,,8.521e-06,8.375
1.903,1.881,,8.44e-06,9
1.913,1.883,,8.359e-06,8.562
1.913,,1.965,,
1.924,1.861,,8.278e-06,8
1.935,1.871,,8.197e-06,7.281
1.945,1.852,,8.116e-06,8.875
1.956,1.894,,8.035e-06,8.5
1.966,1.822,,7.954e-06,7.25
1.966,,1.965,,
1.977,1.88,,7.873e-06,9.75
1.988,1.871,,7.792e-06,10.69
1.998,1.852,,7.711e-06,8.125
2,,1.964,,
